fid,city,year_built,units
57110,Boston,1940,1
57111,Boston,1910,1
57114,Boston,1922,1
57115,Boston,1945,1
57116,Boston,1905,2
57117,Boston,1930,20
57118,Boston,1880,3
57119,Boston,1904,2
57121,Boston,1910,15
57122,Boston,1926,3
57125,Boston,1925,1
57126,Boston,1931,1
57127,Boston,1935,2
57129,Boston,1930,1
57130,Boston,1930,2
57131,Boston,2022,1
57133,Boston,1915,2
57134,Boston,1995,1
57135,Boston,1950,1
57137,Boston,1910,2
57138,Boston,1905,3
57139,Boston,1950,2
57140,Boston,1905,2
57141,Boston,1895,2
57142,Boston,1900,2
57143,Boston,1910,1
57145,Boston,1899,1
57147,Boston,2000,7
57148,Boston,1900,3
57149,Boston,1930,5
57150,Boston,1895,3
57151,Boston,1999,7
57152,Boston,1890,3
57153,Boston,1899,1
57154,Boston,1898,1
57155,Boston,1910,3
57156,Boston,1905,3
57157,Boston,1950,1
57158,Boston,1935,2
57159,Boston,1900,7
57160,Boston,1894,3
57161,Boston,1964,1
57162,Boston,1900,2
57163,Boston,2001,3
57164,Boston,1885,2
57165,Boston,1900,3
57166,Boston,1940,1
57167,Boston,1930,2
57168,Boston,1999,17
57170,Boston,1900,3
57171,Boston,1930,12
57172,Boston,1899,5
57173,Boston,1899,1
57174,Boston,1925,3
57175,Boston,1910,1
57176,Boston,1999,9
57178,Boston,1935,2
57179,Boston,1926,1
57180,Boston,1935,2
57181,Boston,1900,1
57182,Boston,1905,2
57183,Boston,1920,9
57184,Boston,1880,3
57185,Boston,1897,1
57187,Boston,1930,1
57188,Boston,1925,1
57189,Boston,1999,19
57190,Boston,1999,11
57191,Boston,1900,2
57192,Boston,1900,4
57193,Boston,1960,1
57194,Boston,1880,1
57195,Boston,1906,2
57196,Boston,1899,1
57197,Boston,1950,1
57198,Boston,1920,1
57199,Boston,1900,2
57200,Boston,1910,2
57201,Boston,1920,2
57203,Boston,1890,7
57207,Boston,1930,1
57208,Boston,1935,2
57209,Boston,1910,2
57210,Boston,1905,3
57212,Boston,1965,1
57213,Boston,1919,1
57214,Boston,1968,1
57215,Boston,1995,1
57216,Boston,1955,1
57218,Boston,1890,3
57219,Boston,1930,1
57220,Boston,1900,1
57221,Boston,1910,2
57222,Boston,1910,1
57223,Boston,1905,3
57224,Boston,1905,5
57225,Boston,1950,1
57227,Boston,1900,1
57229,Boston,1910,3
57230,Boston,1900,2
57231,Boston,1905,3
57232,Boston,1930,2
57235,Boston,1900,3
57236,Boston,1950,1
57237,Boston,1910,2
57238,Boston,1900,13
57239,Boston,1890,1
57241,Boston,1899,4
57242,Boston,1899,21
57243,Boston,1910,3
57244,Boston,1910,3
57246,Boston,1905,3
57247,Boston,1900,3
57248,Boston,1920,3
57249,Boston,1900,2
57250,Boston,1910,1
57251,Boston,1890,1
57252,Boston,1899,19
57253,Boston,1970,1
57254,Boston,1900,1
57255,Boston,1905,3
57256,Boston,1999,3
57257,Boston,1932,1
57258,Boston,1930,2
57259,Boston,1935,1
57260,Boston,1935,1
57261,Boston,1905,3
57262,Boston,1950,1
57263,Boston,1910,1
57264,Boston,1905,3
57265,Boston,1900,2
57267,Boston,1899,1
57268,Boston,1899,7
57269,Boston,1910,1
57271,Boston,1935,6
57272,Boston,1900,2
57273,Boston,1915,1
57274,Boston,1927,1
57275,Boston,1925,1
57276,Boston,1900,2
57277,Boston,1900,1
57278,Boston,2000,1
57279,Boston,1900,3
57280,Boston,1940,1
57281,Boston,1920,2
