fid,city,year_built,units
68792,Boston,1935,1
68793,Boston,1935,1
68794,Boston,1948,1
68795,Boston,1910,4
68796,Boston,2003,2
68797,Boston,1920,3
68799,Boston,1925,1
68800,Boston,1905,3
68802,Boston,1897,2
68804,Boston,1910,10
68805,Boston,1930,7
68807,Boston,1900,1
68808,Boston,1900,1
68809,Boston,1899,2
68810,Boston,1891,1
68811,Boston,1961,1
68812,Boston,1905,3
68815,Boston,1910,31
68816,Boston,1915,1
68818,Boston,1890,1
68819,Boston,1905,3
68820,Boston,1925,2
68821,Boston,1920,5
68823,Boston,1999,23
68824,Boston,2021,1
68825,Boston,1920,2
68826,Boston,1999,113
68827,Boston,2015,1
68828,Boston,1940,1
68829,Boston,1964,1
68830,Boston,1890,1
68831,Boston,1905,3
68832,Boston,2004,25
68833,Boston,1900,1
68834,Boston,1956,1
68835,Boston,2005,1
68836,Boston,1885,3
68837,Boston,1900,1
68838,Boston,1867,2
68839,Boston,1913,1
68840,Boston,1950,1
68841,Boston,1960,1
68842,Boston,1920,2
68843,Boston,2021,20
68844,Boston,1950,1
68845,Boston,1900,3
68846,Boston,1950,1
68847,Boston,1905,2
68848,Boston,1915,2
68852,Boston,1927,2
68853,Boston,1945,2
68854,Boston,1910,1
68855,Boston,2001,2
68857,Boston,1900,2
68858,Boston,1910,2
68859,Boston,1890,2
68860,Boston,1943,1
68861,Boston,1930,1
68862,Boston,1950,1
68864,Boston,1934,1
68865,Boston,1884,4
68866,Boston,1950,1
68867,Boston,1905,3
68868,Boston,1910,2
68869,Boston,1900,1
68870,Boston,1920,1
68871,Boston,1890,1
68872,Boston,1915,3
68873,Boston,1910,2
68874,Boston,1899,1
68877,Boston,2006,10
68878,Boston,1915,2
68880,Boston,1994,1
68881,Boston,1909,2
68882,Boston,1925,1
68883,Boston,1905,1
68885,Boston,1900,4
68886,Boston,1940,1
68887,Boston,1900,3
68889,Boston,1965,1
68890,Boston,1910,2
68891,Boston,1900,3
68892,Boston,1900,2
68893,Boston,1925,1
68894,Boston,1910,3
68895,Boston,1910,1
68896,Boston,1940,5
68897,Boston,1899,1
68898,Boston,1910,3
68899,Boston,1875,3
68901,Boston,1899,10
68902,Boston,1900,3
68903,Boston,1875,1
68904,Boston,1920,3
68905,Boston,1890,3
68906,Boston,1890,2
68907,Boston,1900,1
68908,Boston,1889,1
68909,Boston,1910,1
68910,Boston,1910,1
68911,Boston,1890,2
68912,Boston,1883,1
68913,Boston,1905,3
68914,Boston,1920,1
68915,Boston,1999,10
68916,Boston,1899,1
68917,Boston,1910,2
68918,Boston,1920,2
68919,Boston,1935,1
68920,Boston,1939,1
68921,Boston,1900,2
68922,Boston,1910,2
68924,Boston,1910,2
68925,Boston,1920,2
68926,Boston,1896,3
68928,Boston,1920,1
68929,Boston,1900,2
68930,Boston,1905,1
68931,Boston,1910,1
68932,Boston,1901,1
68933,Boston,1940,1
68934,Boston,1905,2
68935,Boston,1905,3
68937,Boston,1905,1
68940,Boston,1954,1
68941,Boston,1935,2
68942,Boston,1899,2
68943,Boston,1905,1
68944,Boston,1900,3
68945,Boston,1925,1
68946,Boston,1910,3
68947,Boston,1999,59
68948,Boston,1930,2
68949,Boston,1955,1
68950,Boston,1928,1
68951,Boston,1905,3
68952,Boston,1890,5
68953,Boston,1920,2
68954,Boston,1920,8
68955,Boston,1910,1
68958,Boston,1890,1
68960,Boston,1900,1
68961,Boston,1928,1
68962,Boston,1885,2
68963,Boston,1966,1
68964,Boston,1890,1
68965,Boston,1930,1
68966,Boston,1890,1
68967,Boston,1900,3
68969,Boston,1956,1
68970,Boston,1923,2
68971,Boston,1915,2
68972,Boston,1927,2
68973,Boston,1910,3
68974,Boston,1950,1
68975,Boston,1924,3
68976,Boston,1899,2
68978,Boston,1890,2
68980,Boston,1905,1
68981,Boston,1968,1
68982,Boston,1934,1
68983,Boston,1900,1
68984,Boston,1945,1
68985,Boston,1899,1
68986,Boston,1905,5
68987,Boston,1875,1
68988,Boston,1899,6
68990,Boston,1905,3
68991,Boston,1929,2
68992,Boston,1920,1
68993,Boston,1935,1
68995,Boston,1890,2
68996,Boston,1900,2
68997,Boston,2011,1
68998,Boston,1898,2
68999,Boston,1905,3
69000,Boston,1999,19
69001,Boston,1900,1
69002,Boston,1930,2
69003,Boston,1992,1
69004,Boston,1930,1
69005,Boston,1910,2
69006,Boston,1900,6
69007,Boston,1905,5
69008,Boston,1915,2
69009,Boston,1925,2
69010,Boston,1896,3
69011,Boston,1905,1
69012,Boston,1925,2
69013,Boston,2006,4
69014,Boston,1910,4
69015,Boston,1875,2
69016,Boston,1960,2
69017,Boston,1950,1
69018,Boston,1899,14
69019,Boston,2000,14
69020,Boston,1890,3
69021,Boston,1930,1
69022,Boston,1920,1
69023,Boston,1910,2
69024,Boston,1925,1
69025,Boston,1930,1
69026,Boston,1910,1
69028,Boston,1890,1
69029,Boston,1910,4
69031,Boston,1900,2
69032,Boston,1880,2
69033,Boston,1905,6
69034,Boston,1905,3
69035,Boston,1930,1
69036,Boston,1890,3
69038,Boston,1914,2
69039,Boston,1905,3
69040,Boston,1900,7
69041,Boston,1865,1
69042,Boston,1890,1
69043,Boston,1890,1
69044,Boston,1899,7
69046,Boston,1941,1
69047,Boston,1941,1
69049,Boston,1996,1
69050,Boston,1950,1
69051,Boston,1920,3
69052,Boston,1999,13
69053,Boston,1939,1
69055,Boston,1900,2
69056,Boston,1915,1
69057,Boston,1885,3
69058,Boston,1930,1
69059,Boston,1920,2
69060,Boston,1915,1
69061,Boston,1900,1
69062,Boston,1900,3
69063,Boston,1910,1
69064,Boston,1925,2
69065,Boston,1890,5
69066,Boston,1900,1
69067,Boston,1910,3
69068,Boston,1935,1
69070,Boston,1999,11
69073,Boston,1951,1
69074,Boston,1910,2
69075,Boston,1950,1
69077,Boston,1915,2
69078,Boston,1925,5
69079,Boston,1905,3
69080,Boston,1921,1
69081,Boston,1900,1
69082,Boston,1925,1
69083,Boston,1999,1
69084,Boston,1940,1
69085,Boston,1900,2
69086,Boston,1926,3
69087,Boston,1900,2
69088,Boston,1925,1
69089,Boston,1950,1
69090,Boston,1910,2
69091,Boston,1928,1
69093,Boston,1920,3
69095,Boston,1920,1
69096,Boston,1998,1
69097,Boston,1900,2
69098,Boston,1905,3
69099,Boston,2002,2
69100,Boston,1905,3
69102,Boston,1930,17
69103,Boston,1920,7
69104,Boston,1905,5
69106,Boston,2021,1
69107,Boston,1905,3
69109,Boston,1920,5
69112,Boston,1899,1
69113,Boston,1955,3
69114,Boston,1890,3
69115,Boston,1925,3
69116,Boston,1900,1
69117,Boston,1914,3
69118,Boston,1890,3
69120,Boston,1935,1
69121,Boston,1915,1
69122,Boston,1900,1
69123,Boston,1895,1
69124,Boston,1890,2
69125,Boston,1910,1
69126,Boston,1905,3
69127,Boston,1890,2
69128,Boston,1899,1
69130,Boston,1920,3
69131,Boston,1938,1
69132,Boston,1905,1
69133,Boston,1915,1
69134,Boston,1880,1
69136,Boston,1879,1
69138,Boston,1905,2
69140,Boston,1900,10
69141,Boston,1920,3
69142,Boston,1905,1
69144,Boston,2003,1
69145,Boston,2003,1
69146,Boston,1925,3
69147,Boston,2002,1
69148,Boston,1935,1
69149,Boston,1948,1
69150,Boston,1955,1
69151,Boston,1920,1
69152,Boston,1935,2
69153,Boston,1930,3
69154,Boston,1910,1
69155,Boston,1900,3
69156,Boston,1900,1
69157,Boston,1890,2
69158,Boston,1905,3
69159,Boston,1910,1
69160,Boston,1899,2
69161,Boston,1900,1
69163,Boston,1890,1
69164,Boston,1899,3
69165,Boston,1900,1
69166,Boston,1931,1
69167,Boston,1924,1
69168,Boston,1920,1
69171,Boston,1915,2
69172,Boston,1910,1
69173,Boston,1935,1
69174,Boston,1905,3
69175,Boston,1920,1
69177,Boston,1999,7
69178,Boston,1925,1
69179,Boston,1900,3
69180,Boston,1999,5
69181,Boston,1915,6
69182,Boston,1900,2
69183,Boston,1900,1
69184,Boston,1920,1
69185,Boston,1930,1
69187,Boston,1925,3
69188,Boston,1915,2
69190,Boston,1902,1
69191,Boston,1918,1
69192,Boston,1910,1
69193,Boston,1900,1
69194,Boston,1900,1
69195,Boston,1920,2
69196,Boston,1907,3
69197,Boston,1924,2
69198,Boston,1925,2
69199,Boston,1905,5
69200,Boston,2004,1
69201,Boston,1900,2
69202,Boston,1935,1
69203,Boston,1910,2
69204,Boston,2008,1
69205,Boston,1905,3
69207,Boston,1964,1
69208,Boston,1930,4
69209,Boston,1880,4
69210,Boston,1915,1
69211,Boston,1875,1
69212,Boston,1890,2
69213,Boston,1880,2
69214,Boston,1970,49
69215,Boston,1900,3
69216,Boston,1954,1
69217,Boston,1880,3
69218,Boston,1927,1
69219,Boston,1920,1
69220,Boston,1910,1
69221,Boston,1900,3
69222,Boston,1935,1
69223,Boston,1999,5
69224,Boston,1970,17
69225,Boston,1910,1
69226,Boston,1925,1
69227,Boston,1925,2
69228,Boston,1930,1
69229,Boston,1875,3
69231,Boston,1910,10
69232,Boston,1910,1
69233,Boston,1905,3
69234,Boston,1999,5
69235,Boston,1890,1
69236,Boston,1893,3
69237,Boston,1905,5
69239,Boston,1890,1
69240,Boston,1905,3
69241,Boston,1900,1
69242,Boston,1890,2
69243,Boston,1928,2
69244,Boston,1941,1
69245,Boston,1961,1
69246,Boston,1923,2
69247,Boston,1920,1
69249,Boston,1905,3
69251,Boston,1900,2
69252,Boston,1957,1
69253,Boston,1956,1
69254,Boston,1955,1
69255,Boston,1920,1
69256,Boston,1905,1
69257,Boston,1900,1
69258,Boston,1905,3
69259,Boston,1900,3
69260,Boston,1908,3
69261,Boston,1935,1
69262,Boston,1910,2
69263,Boston,1900,2
69264,Boston,1886,1
69265,Boston,1875,3
69266,Boston,1935,3
69267,Boston,1890,3
69268,Boston,1919,3
69269,Boston,1925,37
69270,Boston,1880,6
69271,Boston,1899,9
69272,Boston,1925,2
69273,Boston,1890,2
69274,Boston,1910,4
69275,Boston,1905,3
69277,Boston,1890,6
69278,Boston,1890,1
69279,Boston,1899,1
69280,Boston,1900,2
69281,Boston,1905,3
69282,Boston,1999,15
69283,Boston,1930,1
69284,Boston,1950,1
69285,Boston,1899,1
69286,Boston,1935,1
69288,Boston,1905,3
69289,Boston,1999,7
69290,Boston,1999,5
69291,Boston,1890,2
69292,Boston,1905,3
69293,Boston,1880,1
69295,Boston,1905,5
69296,Boston,1920,1
69297,Boston,1900,1
69298,Boston,1895,1
69299,Boston,1900,5
69300,Boston,1926,2
69301,Boston,1935,2
69303,Boston,1890,3
69304,Boston,1920,3
69305,Boston,1930,1
69306,Boston,1905,3
69307,Boston,1890,3
69308,Boston,1890,3
69311,Boston,1899,4
69314,Boston,1899,1
69315,Boston,1900,2
69316,Boston,1900,2
69317,Boston,1921,1
69318,Boston,1899,1
69319,Boston,1899,1
69320,Boston,1966,1
69322,Boston,1945,1
69323,Boston,1931,1
69324,Boston,1900,2
69325,Boston,1920,1
69326,Boston,1920,1
69328,Boston,1920,2
69329,Boston,1900,2
69331,Boston,2003,1
69332,Boston,1925,1
69333,Boston,1950,1
69334,Boston,1950,1
69335,Boston,1910,2
69338,Boston,1905,3
69341,Boston,1885,3
69342,Boston,1900,3
69345,Boston,1910,2
69346,Boston,1920,5
69347,Boston,1905,1
69349,Boston,1920,34
69350,Boston,1890,5
69351,Boston,1890,1
69352,Boston,1880,1
69353,Boston,1926,2
69354,Boston,1890,2
69355,Boston,1900,3
69356,Boston,1910,1
69357,Boston,1905,1
69359,Boston,1958,1
69360,Boston,1946,2
69361,Boston,1910,1
69362,Boston,1929,2
69363,Boston,1950,1
69364,Boston,1915,2
69365,Boston,1940,1
69368,Boston,1900,1
69369,Boston,1943,1
69370,Boston,1935,4
69371,Boston,1989,4
69372,Boston,1950,1
69373,Boston,1910,6
69374,Boston,1900,8
69375,Boston,1905,2
69376,Boston,1905,3
69377,Boston,1922,1
69378,Boston,1890,2
69379,Boston,1905,3
69380,Boston,1930,6
69381,Boston,2003,1
69382,Boston,1900,3
69383,Boston,1930,1
69385,Boston,1915,1
69386,Boston,1910,3
69389,Boston,1910,1
69391,Boston,1910,8
69392,Boston,2012,2
69393,Boston,1915,3
69394,Boston,2001,1
69395,Boston,1905,3
69396,Boston,1999,3
69398,Boston,1902,1
69399,Boston,1914,3
69400,Boston,1930,2
69401,Boston,1935,1
69402,Boston,1956,1
69403,Boston,1900,2
69404,Boston,1900,3
69405,Boston,1925,1
69406,Boston,1910,1
69407,Boston,1965,2
69408,Boston,1910,3
69409,Boston,1958,6
69410,Boston,1920,7
69411,Boston,1890,5
69412,Boston,1900,5
69413,Boston,1920,1
69414,Boston,1929,2
69415,Boston,1890,5
69416,Boston,1955,1
69417,Boston,1999,5
69418,Boston,1935,1
69419,Boston,1905,3
69421,Boston,1920,3
69422,Boston,1910,3
69423,Boston,1902,1
69425,Boston,1920,1
69426,Boston,1950,1
69427,Boston,1890,2
69428,Boston,1890,2
69429,Boston,1920,3
69430,Boston,1895,3
69431,Boston,1992,1
69433,Boston,1956,1
69434,Boston,1896,3
69436,Boston,1926,11
69438,Boston,1960,1
69439,Boston,1964,1
69440,Boston,1900,3
69443,Boston,1906,3
69444,Boston,1900,2
69445,Boston,1999,15
69446,Boston,1962,1
69447,Boston,1928,1
69451,Boston,1900,3
69452,Boston,1920,2
69453,Boston,1910,1
69455,Boston,1900,5
69456,Boston,1900,3
69457,Boston,1860,3
69458,Boston,1900,10
69460,Boston,1880,1
69461,Boston,1940,2
69462,Boston,1958,1
69464,Boston,1928,2
69465,Boston,1905,3
69466,Boston,1905,3
69467,Boston,1905,3
69468,Boston,1900,8
69469,Boston,1910,1
69471,Boston,1900,3
69472,Boston,1915,5
69473,Boston,1905,3
69474,Boston,1890,2
69475,Boston,1905,3
69476,Boston,1955,1
69478,Boston,1905,1
69479,Boston,1905,3
69481,Boston,1910,1
69482,Boston,1890,5
69483,Boston,1949,1
69484,Boston,1929,1
69485,Boston,1956,1
69486,Boston,1910,1
69487,Boston,1999,41
69488,Boston,1925,1
69489,Boston,1920,2
69490,Boston,1920,2
69491,Boston,1915,2
69492,Boston,1920,1
69493,Boston,1935,1
69494,Boston,1935,1
69495,Boston,1925,2
69496,Boston,1999,6
69497,Boston,1892,1
69498,Boston,1910,2
69499,Boston,1920,1
69502,Boston,1920,1
69503,Boston,1921,1
69504,Boston,1880,1
69505,Boston,1988,3
69507,Boston,1905,3
69509,Boston,1905,2
69510,Boston,1982,1
69511,Boston,1895,2
69512,Boston,1910,2
69513,Boston,1950,1
69514,Boston,1870,1
69515,Boston,1899,1
69516,Boston,1925,1
69517,Boston,1920,1
69518,Boston,1959,1
69519,Boston,1890,2
69520,Boston,1880,1
69521,Boston,1880,1
69522,Boston,1900,1
69523,Boston,1875,3
69524,Boston,2000,1
69525,Boston,1905,3
69526,Boston,2007,5
69527,Boston,1999,2
69528,Boston,1905,3
69529,Boston,1925,2
69530,Boston,1935,18
69531,Boston,2015,2
69532,Boston,1920,1
69534,Boston,1895,2
69535,Boston,1910,1
69536,Boston,1890,2
69538,Boston,1899,10
69539,Boston,1930,1
69540,Boston,1890,2
69541,Boston,1996,1
69542,Boston,1850,3
69543,Boston,1899,11
69546,Boston,1890,2
69547,Boston,1885,2
69548,Boston,1920,1
69549,Boston,1999,6
69551,Boston,1905,3
69552,Boston,1905,3
69554,Boston,1999,32
69555,Boston,1920,3
69556,Boston,1900,3
69557,Boston,1999,9
69559,Boston,1962,1
69561,Boston,1920,1
69562,Boston,1920,2
69563,Boston,1900,5
69564,Boston,1910,3
69565,Boston,1890,3
69566,Boston,1953,5
69568,Boston,1905,3
69569,Boston,1905,3
69572,Boston,1899,1
69573,Boston,1920,2
69574,Boston,1957,1
69575,Boston,1915,1
69576,Boston,1915,2
69577,Boston,1950,1
69578,Boston,1910,3
69579,Boston,1940,1
69580,Boston,1905,3
69581,Boston,1910,11
69582,Boston,1900,1
69583,Boston,1910,2
69584,Boston,1920,1
69585,Boston,1880,3
69586,Boston,1940,1
69587,Boston,1905,3
69588,Boston,1999,53
69589,Boston,1910,1
69590,Boston,1946,1
69591,Boston,1870,2
69592,Boston,1999,11
69593,Boston,1987,1
69595,Boston,1890,1
69596,Boston,1896,1
69598,Boston,1920,1
69599,Boston,1935,1
69600,Boston,1938,1
69601,Boston,1890,1
69603,Boston,1905,3
69604,Boston,1920,1
69605,Boston,1925,3
69606,Boston,1900,5
69607,Boston,1900,2
69608,Boston,1900,1
69609,Boston,1890,3
69610,Boston,1920,1
69611,Boston,1932,1
69613,Boston,1890,3
69614,Boston,1900,5
69615,Boston,1920,1
69616,Boston,1920,2
69617,Boston,1929,1
69618,Boston,1900,3
69621,Boston,1900,16
69622,Boston,1905,3
69623,Boston,1899,1
69624,Boston,1930,1
69625,Boston,1925,2
69626,Boston,1890,2
69627,Boston,1930,1
69628,Boston,1900,1
69629,Boston,1920,1
69630,Boston,1905,3
69631,Boston,1920,2
69632,Boston,1899,4
69633,Boston,1910,2
69634,Boston,1922,2
69635,Boston,1910,3
69636,Boston,1950,1
69637,Boston,1905,3
69638,Boston,1910,1
69639,Boston,1920,1
69640,Boston,1924,1
69642,Boston,1899,3
69643,Boston,1909,2
69644,Boston,1900,1
69645,Boston,1890,1
69646,Boston,1930,3
69647,Boston,1914,1
69648,Boston,1960,1
69649,Boston,1935,1
69650,Boston,1961,1
69652,Boston,1905,3
69655,Boston,1927,2
69656,Boston,1899,13
69657,Boston,1890,5
69658,Boston,1900,1
69659,Boston,1938,1
69660,Boston,1900,1
69661,Boston,1910,1
69662,Boston,1920,2
69663,Boston,1920,3
69664,Boston,1900,2
69665,Boston,1929,1
69666,Boston,1905,1
69667,Boston,1929,3
69668,Boston,1950,1
69670,Boston,1900,4
69671,Boston,1905,5
69672,Boston,1900,3
69673,Boston,1875,1
69675,Boston,1896,2
69676,Boston,1905,2
69677,Boston,1910,1
69678,Boston,1920,1
69680,Boston,1920,2
69681,Boston,1956,1
69683,Boston,1886,1
69684,Boston,1890,1
69685,Boston,1905,3
69686,Boston,1905,3
69687,Boston,1910,2
69688,Boston,1920,2
69689,Boston,1935,1
69690,Boston,1900,5
69691,Boston,1920,55
69692,Boston,2003,1
69693,Boston,1928,1
69694,Boston,1930,2
69695,Boston,1900,1
69696,Boston,1948,1
69697,Boston,1940,1
69698,Boston,1930,1
69701,Boston,1935,1
69702,Boston,1935,2
69703,Boston,1985,3
69705,Boston,1910,2
69706,Boston,1920,1
69707,Boston,1915,3
69708,Boston,1905,3
69709,Boston,1905,3
69710,Boston,1920,3
69711,Boston,1905,1
69712,Boston,1900,3
69713,Boston,1950,1
69714,Boston,1910,2
69716,Boston,1900,2
69717,Boston,1905,3
69718,Boston,1920,6
69719,Boston,1920,3
69721,Boston,1965,1
69722,Boston,1895,3
69723,Boston,1950,1
69724,Boston,1950,1
69725,Boston,1930,1
69726,Boston,1905,2
69727,Boston,1950,2
69728,Boston,1910,1
69729,Boston,1875,3
69730,Boston,1910,4
69731,Boston,1900,2
69732,Boston,1935,2
69733,Boston,1930,1
69734,Boston,1940,1
69735,Boston,1930,2
69736,Boston,1950,1
69738,Boston,1905,3
69739,Boston,2002,1
69741,Boston,1920,5
69742,Boston,1910,1
69743,Boston,1905,1
69744,Boston,1957,1
69745,Boston,1890,1
69746,Boston,1905,3
69748,Boston,1905,3
69749,Boston,1935,1
69750,Boston,1899,1
69751,Boston,1900,2
69752,Boston,1935,2
69753,Boston,1930,1
69755,Boston,1900,1
69756,Boston,1959,1
69757,Boston,1950,2
69758,Boston,2016,2
69760,Boston,1897,1
69761,Boston,1964,1
69763,Boston,1905,3
69764,Boston,1925,1
69765,Boston,1900,1
69768,Boston,1995,1
69769,Boston,1910,5
69770,Boston,1910,1
69772,Boston,1947,1
69773,Boston,1999,3
69774,Boston,1918,1
69775,Boston,1899,16
69776,Boston,1935,2
69777,Boston,1875,1
69780,Boston,1945,2
69781,Boston,1910,2
69782,Boston,1945,1
69785,Boston,1920,1
69786,Boston,1935,2
69787,Boston,1875,1
69789,Boston,1880,1
69790,Boston,1940,1
69791,Boston,1900,3
69793,Boston,1920,1
69794,Boston,1905,1
69795,Boston,1979,1
69796,Boston,1890,3
69797,Boston,1940,1
69798,Boston,1950,1
69799,Boston,1950,1
69800,Boston,1988,2
69801,Boston,1935,1
69802,Boston,1935,2
69804,Boston,1993,1
69805,Boston,1900,3
69806,Boston,1910,1
69807,Boston,1900,1
69808,Boston,1899,5
69810,Boston,1890,3
69811,Boston,1955,1
69812,Boston,1900,2
69813,Boston,1935,2
69814,Boston,1905,3
69815,Boston,1925,3
69816,Boston,1910,1
69817,Boston,1925,21
69818,Boston,2007,1
69819,Boston,2016,5
69820,Boston,1930,1
69822,Boston,1930,3
69823,Boston,1910,2
69824,Boston,1965,3
69825,Boston,1927,2
69826,Boston,1880,1
69827,Boston,1920,2
69829,Boston,1930,1
69830,Boston,1910,2
69831,Boston,1890,1
69832,Boston,1920,3
69833,Boston,1890,1
69834,Boston,1900,3
69835,Boston,1910,3
69836,Boston,1930,1
69837,Boston,1990,3
69838,Boston,1900,1
69839,Boston,1880,1
69842,Boston,2009,2
69843,Boston,1958,1
69844,Boston,1900,2
69845,Boston,1910,1
69846,Boston,2003,2
69848,Boston,1905,3
69849,Boston,1965,1
69850,Boston,1950,1
69851,Boston,1880,1
69852,Boston,1950,1
69853,Boston,1950,1
69854,Boston,1952,1
69855,Boston,1900,2
69856,Boston,1925,1
69857,Boston,1920,1
69858,Boston,1920,2
69859,Boston,2006,2
69860,Boston,1920,1
69861,Boston,1940,1
69862,Boston,1964,1
69863,Boston,1905,3
69864,Boston,1910,1
69865,Boston,1899,3
69867,Boston,1999,11
69868,Boston,1997,1
69869,Boston,1905,2
69871,Boston,1905,5
69872,Boston,1905,1
69873,Boston,1905,6
69874,Boston,1880,1
69875,Boston,1890,1
69877,Boston,1957,1
69878,Boston,1935,3
69879,Boston,1900,3
69881,Boston,1905,2
69882,Boston,1956,1
69883,Boston,1946,1
69884,Boston,1885,5
69885,Boston,1910,1
69886,Boston,1923,1
69887,Boston,1928,1
69888,Boston,1905,5
69889,Boston,1900,1
69890,Boston,1970,1
69891,Boston,1900,3
69892,Boston,1930,2
69893,Boston,1910,3
69894,Boston,1930,2
69896,Boston,2004,4
69897,Boston,1900,2
69898,Boston,1890,1
69899,Boston,1890,1
69900,Boston,1974,1
69901,Boston,1860,2
69902,Boston,1890,1
69903,Boston,1924,3
69906,Boston,1910,2
69907,Boston,2005,1
69908,Boston,2005,1
69909,Boston,1920,1
69910,Boston,1999,5
69911,Boston,1910,3
69912,Boston,1950,1
69913,Boston,1935,1
69914,Boston,1900,1
69915,Boston,1905,1
69916,Boston,1905,5
69917,Boston,1900,1
69918,Boston,1900,2
69919,Boston,1926,2
69920,Boston,1920,1
69921,Boston,1915,3
69922,Boston,1900,2
69923,Boston,1900,3
69924,Boston,1890,3
69925,Boston,1910,3
69926,Boston,1904,1
69927,Boston,1955,1
69928,Boston,1957,1
69929,Boston,1929,1
69930,Boston,1987,1
69931,Boston,1930,1
69932,Boston,1905,3
69933,Boston,1920,1
69934,Boston,1905,1
69935,Boston,1930,2
69936,Boston,1970,1
69937,Boston,1920,30
69938,Boston,1870,1
69939,Boston,1905,3
69940,Boston,1990,6
69941,Boston,1905,3
69942,Boston,1920,14
69943,Boston,1905,2
69944,Boston,1905,5
69945,Boston,1905,3
69946,Boston,1880,3
69947,Boston,1920,2
69948,Boston,1900,2
69949,Boston,1959,1
69950,Boston,1890,8
69951,Boston,1880,2
69953,Boston,1899,1
69954,Boston,1900,1
69955,Boston,1910,1
69956,Boston,1909,2
69957,Boston,1880,1
69958,Boston,1890,1
69960,Boston,1905,3
69963,Boston,1940,1
69964,Boston,1960,1
69965,Boston,1923,2
69966,Boston,1930,1
69967,Boston,1890,1
69968,Boston,1899,1
69969,Boston,1930,9
69970,Boston,1905,3
69971,Boston,1930,1
69972,Boston,1900,2
69973,Boston,1950,1
69974,Boston,1935,1
69975,Boston,1890,2
69976,Boston,1999,5
69977,Boston,1925,1
69978,Boston,1927,1
69980,Boston,1890,3
69981,Boston,1905,3
69982,Boston,1905,1
69983,Boston,1965,11
69984,Boston,1984,1
69985,Boston,1926,2
69986,Boston,1910,1
69990,Boston,1961,1
69991,Boston,1920,2
69992,Boston,1912,2
69993,Boston,1935,1
69994,Boston,1912,1
69995,Boston,1905,3
69996,Boston,1899,3
69999,Boston,1905,3
70000,Boston,1925,3
70001,Boston,1999,9
70002,Boston,1999,5
70003,Boston,1910,4
70004,Boston,1905,2
70005,Boston,1900,3
70006,Boston,1899,4
70009,Boston,1910,6
70010,Boston,1935,1
70011,Boston,1965,1
70013,Boston,1989,1
70014,Boston,1905,3
70016,Boston,2003,5
70017,Boston,1900,3
70018,Boston,1920,1
70020,Boston,1928,2
70021,Boston,1920,3
70023,Boston,1890,1
70025,Boston,1913,2
70026,Boston,1910,1
70027,Boston,1905,3
70028,Boston,1905,2
70029,Boston,1950,2
70030,Boston,1885,1
70032,Boston,1920,4
70033,Boston,1980,1
70034,Boston,1899,2
70035,Boston,1910,3
70036,Boston,1930,2
70037,Boston,1955,1
70038,Boston,1920,2
70040,Boston,1928,1
70041,Boston,1894,2
70042,Boston,1910,1
70043,Boston,1960,1
70044,Boston,1900,2
70045,Boston,1940,1
70047,Boston,1900,2
70048,Boston,1999,7
70049,Boston,1899,11
70051,Boston,1880,1
70053,Boston,1940,1
70054,Boston,1998,1
70055,Boston,1925,1
70056,Boston,1925,1
70057,Boston,1920,1
70058,Boston,1890,2
70059,Boston,1950,1
70060,Boston,1950,1
70061,Boston,1910,3
70062,Boston,1965,1
70064,Boston,1920,2
70065,Boston,1980,2
70066,Boston,1898,1
70067,Boston,1935,2
70068,Boston,1935,1
70069,Boston,1850,2
70070,Boston,1899,3
70072,Boston,1926,2
70073,Boston,1885,2
70074,Boston,1960,3
70075,Boston,1920,5
70076,Boston,1900,3
70077,Boston,1999,5
70078,Boston,1915,3
70080,Boston,1900,4
70081,Boston,1890,1
70082,Boston,1950,2
70084,Boston,1999,3
70085,Boston,1895,1
70086,Boston,1860,1
70087,Boston,1954,1
70089,Boston,1880,1
70090,Boston,1999,3
70091,Boston,1920,2
70092,Boston,1900,2
70094,Boston,1920,1
70095,Boston,1900,1
70096,Boston,2013,2
70097,Boston,1965,1
70098,Boston,1998,1
70099,Boston,1930,1
70100,Boston,1890,1
70101,Boston,1900,1
70102,Boston,2005,1
70103,Boston,1965,1
70104,Boston,1925,2
70106,Boston,1920,1
70107,Boston,1905,3
70108,Boston,1930,1
70110,Boston,1900,2
70111,Boston,1925,3
70112,Boston,1927,1
70113,Boston,1905,3
70114,Boston,1880,1
70115,Boston,1950,1
70116,Boston,1899,2
70119,Boston,1910,2
70121,Boston,1900,1
70122,Boston,1880,2
70123,Boston,1890,3
70126,Boston,1925,2
70127,Boston,1910,1
70128,Boston,1900,1
70129,Boston,1899,4
70130,Boston,1955,2
70131,Boston,1900,2
70132,Boston,1945,1
70134,Boston,1940,1
70135,Boston,2005,1
70136,Boston,1899,4
70137,Boston,1900,1
70138,Boston,2003,2
70139,Boston,1900,1
70140,Boston,1905,3
70141,Boston,1920,3
70142,Boston,1890,2
70143,Boston,1929,2
70144,Boston,1925,1
70145,Boston,1905,3
70147,Boston,1905,5
70148,Boston,1912,2
70149,Boston,1890,2
70150,Boston,1880,3
70151,Boston,1915,3
70152,Boston,1910,2
70154,Boston,1950,1
70155,Boston,1928,2
70156,Boston,1899,1
70158,Boston,1955,1
70159,Boston,1984,1
70160,Boston,1930,1
70161,Boston,1950,1
70162,Boston,1915,2
70163,Boston,1930,1
70164,Boston,1925,1
70165,Boston,1916,3
70166,Boston,1937,1
